Total,Delayed,Cancelled,Problematic,PathName
6754,912,132,1044,BUR->SJC
3346,406,10,416,BUR->SLC
6916,894,102,996,BUR->SMF
2,2,0,2,BUR->TUS
1098,242,0,242,BWI->ABQ
4592,794,28,822,BWI->ALB
11944,2384,110,2494,BWI->ATL
1456,290,0,290,BWI->AUS
5726,1066,18,1084,BWI->BDL
2074,354,4,358,BWI->BHM
4984,950,16,966,BWI->BNA
9590,1948,264,2212,BWI->BOS
1078,154,8,162,BWI->BTV
4874,940,56,996,BWI->BUF
5086,888,50,938,BWI->CLE
7304,1400,80,1480,BWI->CLT
3366,616,16,632,BWI->CMH
2456,420,44,464,BWI->CVG
64,16,4,20,BWI->DAB
1964,364,10,374,BWI->DAY
5328,1444,42,1486,BWI->DEN
4622,914,100,1014,BWI->DFW
6210,1090,44,1134,BWI->DTW
1014,378,36,414,BWI->EWR
5420,1082,6,1088,BWI->FLL
2,0,0,0,BWI->GRR
2524,580,78,658,BWI->HOU
3456,600,38,638,BWI->IAH
2032,338,4,342,BWI->IND
4854,790,18,808,BWI->ISP
1328,238,4,242,BWI->JAN
2116,358,4,362,BWI->JAX
2268,882,152,1034,BWI->JFK
3252,634,20,654,BWI->LAS
1796,514,26,540,BWI->LAX
14,12,0,12,BWI->LGA
732,120,0,120,BWI->LIT
2050,400,4,404,BWI->MCI
9852,1720,84,1804,BWI->MCO
5618,890,52,942,BWI->MDW
1654,298,36,334,BWI->MEM
7266,1280,36,1316,BWI->MHT
1858,400,14,414,BWI->MIA
2580,530,42,572,BWI->MKE
1948,350,10,360,BWI->MSP
784,136,10,146,BWI->MSY
732,214,2,216,BWI->OKC
7090,1664,238,1902,BWI->ORD
3366,686,4,690,BWI->ORF
2702,500,2,502,BWI->PBI
1384,276,28,304,BWI->PHL
4196,862,12,874,BWI->PHX
2128,372,0,372,BWI->PIT
7976,1320,26,1346,BWI->PVD
1990,288,14,302,BWI->PWM
4164,810,0,810,BWI->RDU
1726,356,20,376,BWI->ROC
2672,476,8,484,BWI->RSW
1442,364,2,366,BWI->SAN
1458,266,0,266,BWI->SAT
2,0,0,0,BWI->SAV
2948,508,12,520,BWI->SDF
484,114,0,114,BWI->SEA
732,162,10,172,BWI->SFO
638,100,6,106,BWI->SJU
1454,250,0,250,BWI->SLC
490,100,0,100,BWI->SRQ
3364,746,12,758,BWI->STL
6776,1308,40,1348,BWI->TPA
120,40,4,44,BZN->ATL
2,2,0,2,BZN->BTM
2586,532,30,562,BZN->DEN
38,0,0,0,BZN->DTW
2,0,0,0,BZN->IDA
26,6,0,6,BZN->LAX
1756,246,6,252,BZN->MSP
674,294,16,310,BZN->ORD
56,16,0,16,BZN->SFO
4058,408,28,436,BZN->SLC
5016,1136,82,1218,CAE->ATL
1854,164,32,196,CAE->CVG
2314,404,46,450,CAE->DFW
1426,196,44,240,CAE->DTW
1368,470,120,590,CAE->EWR
2772,700,154,854,CAE->IAD
328,54,4,58,CAE->IAH
1218,448,56,504,CAE->LGA
1412,240,50,290,CAE->MEM
3392,856,190,1046,CAE->ORD
7810,1878,116,1994,CAK->ATL
934,230,12,242,CAK->BOS
80,6,0,6,CAK->CVG
1558,240,8,248,CAK->DEN
2088,232,100,332,CAK->DTW
16,6,2,8,CAK->FLL
84,12,0,12,CAK->LAS
1586,530,30,560,CAK->LGA
742,118,4,122,CAK->MCO
2098,538,172,710,CAK->ORD
274,80,4,84,CAK->RSW
718,118,2,120,CAK->TPA
2,2,0,2,CDC->LAX
2,2,0,2,CDC->SGU
1332,128,24,152,CDC->SLC
726,142,20,162,CDV->ANC
724,184,14,198,CDV->YAK
720,228,18,246,CEC->ACV
1406,528,78,606,CEC->SFO
4172,834,90,924,CHA->ATL
264,18,4,22,CHA->CVG
852,154,10,164,CHA->DFW
144,18,2,20,CHA->DTW
918,122,8,130,CHA->IAH
1260,104,66,170,CHA->MEM
1532,322,90,412,CHA->ORD
1572,332,32,364,CHO->ATL
72,2,2,4,CHO->CVG
2,2,0,2,CHO->DCA
8988,1822,154,1976,CHS->ATL
312,108,8,116,CHS->BOS
300,24,0,24,CHS->CLE
2242,360,50,410,CHS->CLT
1572,330,24,354,CHS->CVG
2310,562,40,602,CHS->DFW
1512,206,24,230,CHS->DTW
